2017-10-07 15:25:26 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2017-10-07 15:25:27 install libgcrypt20:armhf <none> 1.6.5-2
2017-10-07 15:25:27 status half-installed libgcrypt20:armhf 1.6.5-2
2017-10-07 15:25:27 status unpacked libgcrypt20:armhf 1.6.5-2
2017-10-07 15:25:27 status unpacked libgcrypt20:armhf 1.6.5-2
2017-10-07 15:25:27 install libgpg-error0:armhf <none> 1.21-2ubuntu1
2017-10-07 15:25:27 status half-installed libgpg-error0:armhf 1.21-2ubuntu1
2017-10-07 15:25:27 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2017-10-07 15:25:27 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2017-10-07 15:25:27 install libkmod2:armhf <none> 22-1ubuntu4
2017-10-07 15:25:27 status half-installed libkmod2:armhf 22-1ubuntu4
2017-10-07 15:25:27 status unpacked libkmod2:armhf 22-1ubuntu4
2017-10-07 15:25:27 status unpacked libkmod2:armhf 22-1ubuntu4
2017-10-07 15:25:27 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2017-10-07 15:25:27 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-10-07 15:25:27 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-10-07 15:25:27 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2017-10-07 15:25:27 install libmount1:armhf <none> 2.27.1-6ubuntu3
2017-10-07 15:25:27 status half-installed libmount1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:28 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:28 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:28 install libncurses5:armhf <none> 6.0+20160213-1ubuntu1
2017-10-07 15:25:28 status half-installed libncurses5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:28 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:28 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:28 install libncursesw5:armhf <none> 6.0+20160213-1ubuntu1
2017-10-07 15:25:28 status half-installed libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:28 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:28 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-10-07 15:25:28 install libpam-modules:armhf <none> 1.1.8-3.2ubuntu2
2017-10-07 15:25:28 status half-installed libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 install libpam-modules-bin:armhf <none> 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status half-installed libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status unpacked libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status unpacked libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 install libpam0g:armhf <none> 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status half-installed libpam0g:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:29 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2017-10-07 15:25:30 install libpcre3:armhf <none> 2:8.38-3.1
2017-10-07 15:25:30 status half-installed libpcre3:armhf 2:8.38-3.1
2017-10-07 15:25:30 status unpacked libpcre3:armhf 2:8.38-3.1
2017-10-07 15:25:30 status unpacked libpcre3:armhf 2:8.38-3.1
2017-10-07 15:25:30 install libprocps4:armhf <none> 2:3.3.10-4ubuntu2
2017-10-07 15:25:30 status half-installed libprocps4:armhf 2:3.3.10-4ubuntu2
2017-10-07 15:25:30 status unpacked libprocps4:armhf 2:3.3.10-4ubuntu2
2017-10-07 15:25:30 status unpacked libprocps4:armhf 2:3.3.10-4ubuntu2
2017-10-07 15:25:30 install libseccomp2:armhf <none> 2.2.3-3ubuntu3
2017-10-07 15:25:30 status half-installed libseccomp2:armhf 2.2.3-3ubuntu3
2017-10-07 15:25:30 status unpacked libseccomp2:armhf 2.2.3-3ubuntu3
2017-10-07 15:25:30 status unpacked libseccomp2:armhf 2.2.3-3ubuntu3
2017-10-07 15:25:30 install libselinux1:armhf <none> 2.4-3build2
2017-10-07 15:25:30 status half-installed libselinux1:armhf 2.4-3build2
2017-10-07 15:25:30 status unpacked libselinux1:armhf 2.4-3build2
2017-10-07 15:25:30 status unpacked libselinux1:armhf 2.4-3build2
2017-10-07 15:25:30 install libsemanage-common:all <none> 2.3-1build3
2017-10-07 15:25:30 status half-installed libsemanage-common:all 2.3-1build3
2017-10-07 15:25:30 status unpacked libsemanage-common:all 2.3-1build3
2017-10-07 15:25:30 status unpacked libsemanage-common:all 2.3-1build3
2017-10-07 15:25:31 install libsemanage1:armhf <none> 2.3-1build3
2017-10-07 15:25:31 status half-installed libsemanage1:armhf 2.3-1build3
2017-10-07 15:25:31 status unpacked libsemanage1:armhf 2.3-1build3
2017-10-07 15:25:31 status unpacked libsemanage1:armhf 2.3-1build3
2017-10-07 15:25:31 install libsepol1:armhf <none> 2.4-2
2017-10-07 15:25:31 status half-installed libsepol1:armhf 2.4-2
2017-10-07 15:25:31 status unpacked libsepol1:armhf 2.4-2
2017-10-07 15:25:31 status unpacked libsepol1:armhf 2.4-2
2017-10-07 15:25:31 install libsmartcols1:armhf <none> 2.27.1-6ubuntu3
2017-10-07 15:25:31 status half-installed libsmartcols1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:31 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:31 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2017-10-07 15:25:31 install libss2:armhf <none> 1.42.13-1ubuntu1
2017-10-07 15:25:31 status half-installed libss2:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:31 status unpacked libss2:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:31 status unpacked libss2:armhf 1.42.13-1ubuntu1
2017-10-07 15:25:31 install libsystemd0:armhf <none> 229-4ubuntu4
2017-10-07 15:25:31 status half-installed libsystemd0:armhf 229-4ubuntu4
